sta;c;err;ch
AGST;-0.023;0.02;***
ALJA;0.078;0.048;***
AMUR;0.029;0.018;***
AOI;0.086;0.017;***
APPI;-0.316;0.023;***
AQU;0.075;0.017;***
ARCI;0.519;0.02;***
ARVD;0.245;0.022;***
BADI;0.093;0.018;***
BDI;0.15;0.018;***
BERNI;0.06;0.038;***
BLB;0.044;0.038;***
BNI;0.393;0.027;***
BRMO;0.191;0.019;***
BSSO;0.158;0.019;*N*
BULG;0.101;0.028;***
CAFE;0.085;0.02;***
CAFI;0.296;0.041;***
CAMP;0.195;0.018;***
CARO;-0.128;0.021;***
CASP;0.366;0.035;***
CDRU;0.422;0.018;***
CEL;0.194;0.021;***
CERA;0.012;0.021;***
CERT;0.168;0.016;***
CGRP;-0.363;0.043;***
CIGN;0.23;0.018;***
CII;0.106;0.028;***
CING;0.138;0.015;***
CLLN;-0.069;0.052;***
CLTB;-0.369;0.044;***
CMPO;-0.537;0.034;***
CMPR;0.345;0.019;***
CORL;-0.08;0.028;***
CRAC;-0.24;0.023;***
CRE;0.163;0.017;***
CRMI;0.429;0.025;*H*
CSNT;0.303;0.017;***
CTI;-0.319;0.02;***
CUC;0.161;0.018;***
DAVOX;-0.048;0.021;***
DIX;0.026;0.025;***
DOI;-0.181;0.022;***
ECNV;-0.124;0.031;***
EMV;0.096;0.03;***
ERBM;0.182;0.018;***
ESLN;-0.052;0.023;***
FAEN;-0.261;0.029;***
FAGN;-0.228;0.016;***
FDMO;0.193;0.035;***
FIAM;0.128;0.016;***
FIU;-0.357;0.022;***
FNVD;0.019;0.018;***
FSSB;-0.213;0.019;***
FUORN;-0.009;0.023;***
FVI;-0.138;0.018;***
GIUL;0.323;0.019;***
GROG;0.183;0.03;***
GUAR;0.163;0.023;***
GUMA;-0.409;0.051;***
HAGA;0.04;0.023;***
HAVL;-0.283;0.02;***
HCRL;0.034;0.043;***
HMDC;-0.218;0.024;***
HVZN;-0.379;0.02;***
IACL;-0.15;0.029;***
ILLI;-0.55;0.019;***
IMI;0.034;0.048;***
INTR;-0.125;0.015;***
JOPP;0.247;0.022;***
LPEL;0.059;0.041;***
LSD;0.154;0.053;***
LTRZ;0.045;0.035;***
MABI;0.197;0.019;***
MAGA;-0.65;0.026;***
MAIM;0.245;0.023;***
MAON;0.452;0.021;***
MATE;0.031;0.038;***
MCEL;0.162;0.023;***
MDI;-0.093;0.02;***
MGR;0.192;0.02;***
MIDA;0.189;0.017;***
MIGL;-0.499;0.024;***
MMK;0.082;0.024;***
MMME;0.025;0.017;***
MNO;-0.136;0.059;***
MNS;0.188;0.016;***
MODR;0.254;0.038;***
MONC;-0.334;0.024;***
MPAZ;0.105;0.023;***
MRB1;-0.109;0.021;***
MRGE;-0.064;0.026;***
MRLC;0.263;0.017;***
MRVN;0.253;0.026;***
MSAG;-0.237;0.022;***
MSRU;-0.1;0.017;***
MTCE;0.285;0.018;***
MTRZ;-0.071;0.028;***
MTTG;0.045;0.028;***
MUGIO;0.066;0.022;***
MURB;-0.349;0.015;***
NOCI;-0.093;0.019;***
NOVE;-0.299;0.026;***
ORI;-0.241;0.023;***
PALZ;-0.252;0.024;***
PARC;0.202;0.034;***
PCP;0.121;0.03;***
PESA;-0.079;0.018;***
PIEI;0.314;0.022;***
POFI;0.315;0.032;***
PTCC;-0.047;0.032;***
PTRJ;0.162;0.025;***
PTRP;-0.082;0.032;***
PZUN;0.069;0.051;***
PZZ;-0.089;0.038;***
PZZT;0.09;0.026;***
QLNO;0.138;0.032;***
RAFF;-0.037;0.024;***
RAVA;-0.343;0.018;***
RESU;0.139;0.042;***
RNI2;0.02;0.017;***
ROM9;-0.095;0.024;***
RORO;0.311;0.055;***
RSM;0.089;0.016;***
RSP;0.127;0.032;***
SACR;0.231;0.018;***
SBPO;-0.366;0.027;***
SC2M;-0.128;0.027;***
SCHR;0.363;0.02;***
SCTE;-0.216;0.03;***
SERS;0.298;0.02;***
SEST;-0.326;0.039;***
SFI;0.179;0.015;***
SGG;0.186;0.021;***
SGRT;-0.037;0.022;***
SGTA;0.139;0.023;***
SIRI;0.136;0.024;***
SLCN;-0.078;0.037;***
SOI;0.25;0.018;***
SSY;-0.268;0.019;***
STR4;0.054;0.057;***
TERO;0.057;0.015;***
TIP;0.361;0.02;***
TOLF;0.322;0.019;***
TRAV;-0.069;0.034;***
TRI;0.025;0.024;***
TRIV;0.142;0.019;***
TRTR;-0.444;0.028;***
TUE;-0.047;0.02;***
USI;-0.295;0.03;***
VAGA;0.183;0.017;***
VCEL;-0.118;0.018;***
VENT;0.19;0.032;***
VLC;0.321;0.018;***
VTB1;-0.014;0.052;***
VULT;-0.071;0.022;***
WDD;-0.147;0.03;***
ACER;-0.057;0.015;***
ACOM;-0.421;0.021;***
AGOR;-0.024;0.025;***
ARSA;0.455;0.049;***
ASQU;0.199;0.012;***
BOB;0.025;0.016;***
BSSO;0.591;0.018;*H*
CAFR;0.087;0.031;***
CESI;0.099;0.026;***
CRMI;0.289;0.021;*N*
FRES;0.355;0.032;***
FUSIO;0.026;0.023;***
GALF;0.004;0.015;***
GEPF;-0.041;0.036;***
IVPL;-0.654;0.017;***
LATE;-0.301;0.086;***
LNSS;-0.051;0.014;***
MCRV;0.086;0.028;***
MELA;-0.227;0.012;***
MGAB;-0.095;0.011;***
MILZ;-0.112;0.019;***
MOCO;0.415;0.015;***
MSCL;-0.226;0.015;***
MTSN;0.166;0.013;***
NRCA;0.055;0.015;***
OFFI;-0.308;0.019;***
PALA;-0.606;0.121;***
PIPA;0.174;0.016;***
PLAC;0.094;0.011;***
PRMA;-0.106;0.037;***
PSB1;0.265;0.019;***
RDP;-0.372;0.02;***
SABO;-0.412;0.019;*H*
SABO;-1.026;0.023;*N*
SACS;0.128;0.01;***
SALO;-0.332;0.016;***
SNAL;0.078;0.015;***
STV;0.324;0.024;***
VINO;0.041;0.044;***
VVLD;0.172;0.019;***
WTTA;-0.221;0.034;***
ZCCA;0.125;0.016;***
ABSI;-0.435;0.023;***
AIO;0.117;0.026;***
AJAC;0.178;0.047;***
AM05;1.188;0.137;*HN
AM05;0.702;0.03;*N*
AM05;0.111;0.042;*HE
APEC;-0.047;0.016;***
APRC;-0.081;0.02;***
ARRO;0.308;0.017;***
ASSB;0.136;0.016;***
ATBU;-0.226;0.04;***
ATCC;-0.079;0.013;***
ATFO;0.085;0.014;***
ATMC;-0.009;0.025;***
ATMI;-0.196;0.015;***
ATN;-0.041;0.042;***
ATPC;-0.017;0.015;!(*NE)
ATPI;0.145;0.013;***
ATTE;0.188;0.013;***
ATVO;0.099;0.011;***
BHB;0.098;0.032;***
BIOG;0.012;0.056;***
BLLA;0.01;0.036;***
BLY;-0.296;0.031;***
BNALP;-0.042;0.025;***
BOJS;-0.516;0.035;***
BOSI;-0.322;0.043;***
BRES;-0.102;0.051;***
BRIS;0.021;0.027;***
BRSN;-0.336;0.051;***
BURY;0.092;0.06;***
CADA;-0.333;0.027;***
CAGR;-0.118;0.019;***
CANO;-0.266;0.038;***
CAPA;-0.121;0.038;***
CAR1;-0.158;0.016;***
CARD;0.133;0.016;***
CARE;0.124;0.031;***
CAVE;-0.316;0.046;***
CDCA;0.12;0.024;*H*
CDCA;-0.283;0.031;*N*
CELB;0.517;0.033;***
CELI;0.232;0.026;*N*
CELI;-0.097;0.017;*H*
CESX;0.173;0.018;***
CET2;-0.175;0.02;***
