Net;Sta;Loc;Cha;Lat;Lon;Ele;EpiDistance(km);IpoDistance(km);MinAmp(m);MinAmpTime;MaxAmp(m);MaxAmpTime;Sampling;LoCo;HiCo
IV;CAMP;;HHE;42.53578186035156;13.409000396728516;1.2829999923706055;42.5672;13.2747;6;-3.6515927692e-05;2017-01-01T00:01:43.900299Z;3.40334959257e-05;2017-01-01T00:01:44.070299Z;100;2;40
IV;CAMP;;HHN;42.53578186035156;13.409000396728516;1.2829999923706055;42.5672;13.2747;6;-5.11334168495e-05;2017-01-01T00:01:44.060299Z;4.53823211997e-05;2017-01-01T00:01:43.930299Z;100;0.04;44
IV;CAMP;;HHZ;42.53578186035156;13.409000396728516;1.2829999923706055;42.5672;13.2747;6;-1.98378652182e-05;2017-01-01T00:01:43.280299Z;1.22577232753e-05;2017-01-01T00:01:42.680299Z;100;3;46;29
IV;LNSS;;HHE;42.60285949707031;13.04032039642334;1.1549999713897705;42.5672;13.2747;6;-3.17328302923e-05;2017-01-01T00:01:46.060000Z;5.48160523758e-05;2017-01-01T00:01:46.440000Z;100;3;21;12
IV;LNSS;;HHN;42.60285949707031;13.04032039642334;1.1549999713897705;42.5672;13.2747;6;-0.000101980878172;2017-01-01T00:01:45.760000Z;9.16934882269e-05;2017-01-01T00:01:45.850000Z;100;0.04;22
IV;LNSS;;HHZ;42.60285949707031;13.04032039642334;1.1549999713897705;42.5672;13.2747;6;-3.96636961828e-05;2017-01-01T00:01:45.890000Z;2.70827201593e-05;2017-01-01T00:01:45.800000Z;100;3;22;18
IV;RM33;;EHE;42.50897979736328;13.214520454406738;1.097000002861023;42.5672;13.2747;6;-0.000169339501274;2017-01-01T00:01:42.800000Z;0.000177393478759;2017-01-01T00:01:42.660000Z;100;0.04;43
IV;RM33;;EHN;42.50897979736328;13.214520454406738;1.097000002861023;42.5672;13.2747;6;-0.00013894694995;2017-01-01T00:01:42.270000Z;0.000162743202294;2017-01-01T00:01:42.490000Z;100;0.04;48
IV;RM33;;EHZ;42.50897979736328;13.214520454406738;1.097000002861023;42.5672;13.2747;6;-0.000118111777349;2017-01-01T00:01:42.990000Z;8.60163874013e-05;2017-01-01T00:01:42.430000Z;100;0.04;48
IV;T1211;;EHE;42.53285217285156;12.855145454406738;0.978999972343444;42.5672;13.2747;6;-1.49072365763e-05;2017-01-01T00:01:51.064001Z;1.43271113089e-05;2017-01-01T00:01:50.896001Z;125;5;38
IV;T1211;;EHN;42.53285217285156;12.855145454406738;0.978999972343444;42.5672;13.2747;6;-1.22193348612e-05;2017-01-01T00:01:51.064001Z;1.64919388587e-05;2017-01-01T00:01:51.008001Z;125;3;37
IV;T1211;;EHZ;42.53285217285156;12.855145454406738;0.978999972343444;42.5672;13.2747;6;-4.05210795086e-06;2017-01-01T00:01:51.472001Z;3.48505569371e-06;2017-01-01T00:01:52.192001Z;125;5;30
IV;T1246;;HHE;42.583309173583984;13.492950439453125;1.13399994373321;42.5672;13.2747;6;-1.55489023339e-05;2017-01-01T00:01:45.890000Z;1.93251714391e-05;2017-01-01T00:01:45.930000Z;100;3;43
IV;T1246;;HHN;42.583309173583984;13.492950439453125;1.13399994373321;42.5672;13.2747;6;-1.69350265158e-05;2017-01-01T00:01:45.370000Z;1.6173383222e-05;2017-01-01T00:01:45.510000Z;100;3;46
IV;T1246;;HHZ;42.583309173583984;13.492950439453125;1.13399994373321;42.5672;13.2747;6;-1.82184787839e-05;2017-01-01T00:01:42.580000Z;1.23654131928e-05;2017-01-01T00:01:42.630000Z;100;3;49
IV;T1247;;HHE;42.44157028198242;13.29833984375;0.8360000252723694;42.5672;13.2747;6;-6.93081181615e-05;2017-01-01T00:01:45.170000Z;6.21390257042e-05;2017-01-01T00:01:45.230000Z;100;5;36
IV;T1247;;HHN;42.44157028198242;13.29833984375;0.8360000252723694;42.5672;13.2747;6;-5.54906433513e-05;2017-01-01T00:01:45.270000Z;6.04011538044e-05;2017-01-01T00:01:45.210000Z;100;5;41
IV;T1247;;HHZ;42.44157028198242;13.29833984375;0.8360000252723694;42.5672;13.2747;6;-3.56690694359e-05;2017-01-01T00:01:45.460000Z;3.85775522098e-05;2017-01-01T00:01:45.410000Z;100;5;34
IV;T1299;;EHE;42.63422393798828;13.282204627990723;0.9399999976158142;42.5672;13.2747;6;-9.34272920613e-05;2017-01-01T00:01:42.050198Z;8.62450435346e-05;2017-01-01T00:01:42.140198Z;100;0.04
IV;T1299;;EHN;42.63422393798828;13.282204627990723;0.9399999976158142;42.5672;13.2747;6;-7.75508191449e-05;2017-01-01T00:01:41.830198Z;6.55503534355e-05;2017-01-01T00:01:42.580198Z;100;0.04
IV;T1299;;EHZ;42.63422393798828;13.282204627990723;0.9399999976158142;42.5672;13.2747;6;-6.68258003276e-05;2017-01-01T00:01:42.420198Z;5.90651213499e-05;2017-01-01T00:01:42.350198Z;100;0.04
